name	URL	published at	category	notes
sphinxcontrib-proceduralimage	https://pypi.python.org/pypi/sphinxcontrib-proceduralimage	PyPI	images	execute python code and insert image generated by the code
sphinxcontrib-programscreenshot	https://pypi.python.org/pypi/sphinxcontrib-programscreenshot	PyPI	images	screenshot GUI application using Xvfb
sphinxcontrib-sadisplay	https://pypi.python.org/pypi/sphinxcontrib-sadisplay	PyPI	images	Rendering PlantUML diagrams or GraphViz directed graphs generated from SqlALchemy models
sphinxcontrib-sdedit	https://pypi.python.org/pypi/sphinxcontrib-sdedit	PyPI	images	sdedit
sphinxcontrib-seqdiag	https://pypi.python.org/pypi/sphinxcontrib-seqdiag	PyPI	images	seqdiag
sphinxcontrib-texfigure	https://pypi.python.org/pypi/sphinxcontrib-texfigure	PyPI	images	insert image generated from TeX code
sphinxcontrib-tikz	https://pypi.python.org/pypi/sphinxcontrib-tikz	PyPI	images	insert image generated from TeX code
sphinxcontrib-visio	https://pypi.python.org/pypi/sphinxcontrib-visio	PyPI	images	MS-Visio
sphinxcontrib-yuml	https://pypi.python.org/pypi/sphinxcontrib-yuml	PyPI	images	yUML
sphinxjp-tk0miya	https://pypi.python.org/pypi/sphinxjp-tk0miya	PyPI	images	search image from flickr and insert it
sphinx-xref	https://github.com/michaeljones/sphinx-xref	github	integrations	make it easier to link repeatedly to external documentation
sphinxcontrib-doxylink	https://pypi.python.org/pypi/sphinxcontrib-doxylink	PyPI	integrations	link to external Doxygen API documentation
sphinxcontrib-epydoc	https://pypi.python.org/pypi/sphinxcontrib-epydoc	PyPI	integrations	cross reference to external docs by epydoc
TracSphinx	https://pypi.python.org/pypi/TracSphinx	PyPI	integrations	sphinx plugin *for trac*
sphinxcontrib-osaka	https://pypi.python.org/pypi/sphinxcontrib-osaka	PyPI	jokes	convert to Osaka dialect
sphinxcontrib-spam	https://pypi.python.org/pypi/sphinxcontrib-spam	PyPI	jokes	SPAM role
sphinxjp.usaturn	https://pypi.python.org/pypi/sphinxjp.usaturn	PyPI	jokes	add new admonition
wordcount-sphinx	https://github.com/hamukazu/wordcount-sphinx	github	jokes	counts the number of the word in the current document
sphinx-traceability-extension	https://github.com/ociu/sphinx-traceability-extension	github	metadata	traceability matrix directives and roles
sphinxcontrib-gen_node	https://pypi.python.org/pypi/sphinxcontrib-gen_node	PyPI	metadata	Define new directives like todo/todolist
sphinxcontrib-microdata	https://pypi.python.org/pypi/sphinxcontrib-microdata	PyPI	metadata	add semantic markups by microdata
sphinxcontrib-requirements	https://pypi.python.org/pypi/sphinxcontrib-requirements	PyPI	metadata	describe requirements and its status
sphinxcontrib-taglist	https://pypi.python.org/pypi/sphinxcontrib-taglist	PyPI	metadata	define tags and correct them as taglist
abjad	https://pypi.python.org/pypi/Abjad/2.11	PyPI	misc	abjad extensions (for abjad document itself)
local_toctree.py	https://gist.github.com/shimizukawa/5131720	gist	misc	to render local toctree in templates
metapensiero.sphinx.patchdb	https://pypi.python.org/pypi/metapensiero.sphinx.patchdb	PyPI	misc	migrate database through sphinx directive
nose-sphinx-doc	https://pypi.python.org/pypi/nose-sphinx-doc	PyPI	misc	sphinx plugin *for nose*
rstspreadsheet	https://pypi.python.org/pypi/rstspreadsheet	PyPI	misc	fill cells in table like spreadsheet
rusty	https://pypi.python.org/pypi/rusty	PyPI	misc	collection of extensions
sagecellext.py	https://gist.github.com/shoibalc/3768206	gist	misc	sagecell directive
sbo-sphinx	https://pypi.python.org/pypi/sbo-sphinx	PyPI	misc	
seqansphinx	https://pypi.python.org/pypi/seqansphinx	PyPI	misc	
sphinx-prompt	https://pypi.python.org/pypi/sphinx-prompt	PyPI	misc	prompt
sphinxcontrib_dir.py	https://gist.github.com/tk0miya/2652318	gist	misc	directory list directive
sphinxcontrib-clearquest	https://pypi.python.org/pypi/sphinxcontrib-clearquest	PyPI	misc	IBM Rational ClearQuest
sphinxcontrib-inheritance	https://pypi.python.org/pypi/sphinxcontrib-inheritance	PyPI	misc	
sphinxcontrib-paverutils	https://pypi.python.org/pypi/sphinxcontrib-paverutils	PyPI	misc	
sphinxcontrib-rawfiles	https://pypi.python.org/pypi/sphinxcontrib-rawfiles	PyPI	misc	copy files to builddir to distribute them
sphinxcontrib-robotframework	https://pypi.python.org/pypi/sphinxcontrib-robotframework	PyPI	misc	execute embedded Robot Framework tests during sphinx-build.
sphinxcontrib-testbuild	https://pypi.python.org/pypi/sphinxcontrib-testbuild	PyPI	misc	
sphinxcontrib-webmocks	https://pypi.python.org/pypi/sphinxcontrib-webmocks	PyPI	misc	create web UI mocks using Sphinx
sphinxjp.shibukawa	https://pypi.python.org/pypi/sphinxjp.shibukawa	PyPI	misc	insert calendar
sphinxmapxrefrole	https://pypi.python.org/pypi/sphinxmapxrefrole	PyPI	misc	
trydoc	https://pypi.python.org/pypi/trydoc	PyPI	misc	Tryton markup for Sphinx
sphinx-contrib/youtube	https://bitbucket.org/birkenfeld/sphinx-contrib	bitbucket	multimedia/web-services	youtube directive
sphinxcontrib-embedly	https://pypi.python.org/pypi/sphinxcontrib-embedly	PyPI	multimedia/web-services	embed anything using embed.ly
sphinxcontrib-googlemaps	https://pypi.python.org/pypi/sphinxcontrib-googlemaps	PyPI	multimedia/web-services	insert googlemaps
sphinxcontrib-nicovideo	https://pypi.python.org/pypi/sphinxcontrib-nicovideo	PyPI	multimedia/web-services	nicovideo
sphinxcontrib-slide	https://pypi.python.org/pypi/sphinxcontrib-slide	PyPI	multimedia/web-services	insert slides
sphinxcontrib-swf	https://pypi.python.org/pypi/sphinxcontrib-swf	PyPI	multimedia/web-services	insert Flash object
sphinxcontrib.gist	https://pypi.python.org/pypi/sphinxcontrib.gist	PyPI	multimedia/web-services	insert gist
sphinxcontrib.twitter	https://pypi.python.org/pypi/sphinxcontrib.twitter	PyPI	multimedia/web-services	insert tweet
sphinxcontrib.youtube	https://pypi.python.org/pypi/sphinxcontrib.youtube	PyPI	multimedia/web-services	insert youtube
sphinx-contrib/sword	https://bitbucket.org/birkenfeld/sphinx-contrib	bitbucket	roles	call Sword and insert Bible verses inline
sphinx-contrib/traclinks	https://bitbucket.org/birkenfeld/sphinx-contrib	bitbucket	roles	trac role
sphinx-ext-wikipedia	https://github.com/quiver/sphinx-ext-wikipedia	github	roles	Wikipedia role
sphinx-vlaamsecodex	https://pypi.python.org/pypi/sphinx-vlaamsecodex	PyPI	roles	"Vlaamse Codex" roles
sphinxcontrib_footnote.py	https://gist.github.com/tk0miya/2507585	gist	roles	footnote role
sphinxcontrib-cheeseshop	https://pypi.python.org/pypi/sphinxcontrib-cheeseshop	PyPI	roles	PyPI role (link to package)
sphinxcontrib-email	https://pypi.python.org/pypi/sphinxcontrib-email	PyPI	roles	email role
sphinxcontrib-externallinks	https://pypi.python.org/pypi/sphinxcontrib-externallinks	PyPI	roles	directives and roles collection for google, googlemaps, tenki.jp, wikipedia, World heritage sites
sphinxcontrib-manpage	https://pypi.python.org/pypi/sphinxcontrib-manpage	PyPI	roles	linux man role
sphinxcontrib-smblink	https://pypi.python.org/pypi/sphinxcontrib-smblink	PyPI	roles	link role for Windows Share Links (WSL)
sphinxcontrib-textstyle	https://pypi.python.org/pypi/sphinxcontrib-textstyle	PyPI	roles	roles collection; ruby, del and color
dipus	https://pypi.python.org/pypi/dipus	PyPI	searchfind	enhance full text search of Sphinx
sphinxcontrib-findanything	https://pypi.python.org/pypi/sphinxcontrib-findanything	PyPI	searchfind	Add FindAnything panel to your docs
sphinxcontrib-whoosh	https://pypi.python.org/pypi/sphinxcontrib-whoosh	PyPI	searchfind	enhance full text search of Sphinx
bibstuff	https://github.com/matthew-brett/bibstuff	github	thesis/latex	BibTeX Sphinx Extension
extra_texescape.py	https://gist.github.com/rbonvall/652626	gist	thesis/latex	mapping unicode symbols to their LaTeX equivalents
sphinxcontrib-bibtex	https://pypi.python.org/pypi/sphinxcontrib-bibtex	PyPI	thesis/latex	work like \thebibliography and \cite
sphinxtr	https://github.com/jterrace/sphinxtr	github	thesis/latex	a collection of extensions and monkey patches to Sphinx to better format a PhD thesis
doc8	https://pypi.python.org/pypi/doc8	PyPI	utilities	Style checker for Sphinx (or other) RST documentation
sphinx-autobuild	https://pypi.python.org/pypi/sphinx-autobuild	PyPI	utilities	rebuild the documentation when a change is detected. Also includes a livereload enabled web server.
sphinx-intl	https://pypi.python.org/pypi/sphinx-intl	PyPI	utilities	Sphinx utility that make it easy to translate and to apply translation
sphinx-me	https://pypi.python.org/pypi/sphinx-me	PyPI	utilities	create sphinx project from README
Sphinx-PyPI-upload	https://pypi.python.org/pypi/Sphinx-PyPI-upload	PyPI	utilities	add upload_sphinx subcommand to setup.py
sphinxcontrib-spelling	https://pypi.python.org/pypi/sphinxcontrib-spelling	PyPI	utilities	spell checker
ablog	https://pypi.python.org/pypi/ablog	PyPI	website/blogs	add blog features; feed, archive page and so on.
pylons_sphinx_latesturl	https://pypi.python.org/pypi/pylons_sphinx_latesturl	PyPI	website/blogs	rewrite template variables
sphinx_amazonjp_embed	https://pypi.python.org/pypi/sphinx_amazonjp_embed	PyPI	website/blogs	embed amazon affliates
sphinx-contrib/feed	https://bitbucket.org/birkenfeld/sphinx-contrib	bitbucket	website/blogs	generate RSS
sphinx-contrib/hyphenator	https://bitbucket.org/birkenfeld/sphinx-contrib	bitbucket	website/blogs	provides hyphenation for html documentation
sphinxcontrib_awesome.py	https://gist.github.com/tk0miya/8558c915187442a0f7dd	gist	website/blogs	Use font awesome using `:awesome:` role
sphinxcontrib-ansi	https://pypi.python.org/pypi/sphinxcontrib-ansi	PyPI	website/blogs	turns ANSI color sequences on HTML
sphinxcontrib-fulltoc	https://pypi.python.org/pypi/sphinxcontrib-fulltoc	PyPI	website/blogs	Enhance sidebar
sphinxcontrib-googleanalytics	https://pypi.python.org/pypi/sphinxcontrib-googleanalytics	PyPI	website/blogs	Add googleanalytics trackers to your docs
sphinxcontrib-newsfeed	https://pypi.python.org/pypi/sphinxcontrib-newsfeed	PyPI	website/blogs	generate RSS
sphinxcontrib-recentpages	https://pypi.python.org/pypi/sphinxcontrib-recentpages	PyPI	website/blogs	show recent changed files
sphinxcontrib.contributors	https://pypi.python.org/pypi/sphinxcontrib.contributors	PyPI	website/blogs	adds a sidebar box showing the contributors of the documentation.
sphinxfeed	https://pypi.python.org/pypi/sphinxfeed	PyPI	website/blogs	generate RSS
sphinxtogithub	https://pypi.python.org/pypi/sphinxtogithub	PyPI	website/blogs	rename directories for github pages
yasfb	https://pypi.python.org/pypi/yasfb	PyPI	website/blogs	generate RSS
sphinx-js	https://pypi.python.org/pypi/sphinx-js/	PyPI	autodoc	Autodoc for JSDoc-formatted JavaScript
sphinxcontrib-confluencebuilder	https://pypi.python.org/pypi/sphinxcontrib-confluencebuilder/	PyPI	builders	Atlassian Confluence Builder for Sphinx
sphinx-pyppeteer-builder	https://pypi.org/project/sphinx-pyppeteer-builder/	PyPI	builders	a PDF generator for Sphinx without usage of LaTeX
sphinx-weasyprint-builder	https://pypi.org/project/sphinx-weasyprint-builder/	PyPI	builders	a PDF generator for Sphinx without usage of LaTeX.
